A,B,C,D,E,F,G,Label,Data
-1,-1,-1,-1,-1,-1,-1,SqrtY1,3.605551275
-1,-1,-1,-1,-1,-1,-1,SqrtY2,5.477225575
-1,-1,-1,-1,-1,-1,-1,SqrtY3,5.099019514
-1,-1,-1,1,1,1,1,SqrtY1,2
-1,-1,-1,1,1,1,1,SqrtY2,4
-1,-1,-1,1,1,1,1,SqrtY3,3.31662479
-1,-1,1,-1,-1,1,1,SqrtY1,4.472135955
-1,-1,1,-1,-1,1,1,SqrtY2,3.872983346
-1,-1,1,-1,-1,1,1,SqrtY3,4.472135955
-1,-1,1,1,1,-1,-1,SqrtY1,6.480740698
-1,-1,1,1,1,-1,-1,SqrtY2,6.557438524
-1,-1,1,1,1,-1,-1,SqrtY3,8
-1,1,-1,-1,1,-1,1,SqrtY1,3.741657387
-1,1,-1,-1,1,-1,1,SqrtY2,3.872983346
-1,1,-1,-1,1,-1,1,SqrtY3,4.123105626
-1,1,-1,1,-1,1,-1,SqrtY1,3.16227766
-1,1,-1,1,-1,1,-1,SqrtY2,4.123105626
-1,1,-1,1,-1,1,-1,SqrtY3,4
-1,1,1,-1,1,1,-1,SqrtY1,6
-1,1,1,-1,1,1,-1,SqrtY2,5.385164807
-1,1,1,-1,1,1,-1,SqrtY3,7.280109889
-1,1,1,1,-1,-1,1,SqrtY1,2.236067977
-1,1,1,1,-1,-1,1,SqrtY2,3
-1,1,1,1,-1,-1,1,SqrtY3,4
1,-1,-1,-1,1,1,-1,SqrtY1,5.385164807
1,-1,-1,-1,1,1,-1,SqrtY2,0
1,-1,-1,-1,1,1,-1,SqrtY3,3.741657387
1,-1,-1,1,-1,-1,1,SqrtY1,3.16227766
1,-1,-1,1,-1,-1,1,SqrtY2,5.099019514
1,-1,-1,1,-1,-1,1,SqrtY3,3
1,-1,1,-1,1,-1,1,SqrtY1,5.291502622
1,-1,1,-1,1,-1,1,SqrtY2,13.15294644
1,-1,1,-1,1,-1,1,SqrtY3,4.358898944
1,-1,1,1,-1,1,-1,SqrtY1,10
1,-1,1,1,-1,1,-1,SqrtY2,11.35781669
1,-1,1,1,-1,1,-1,SqrtY3,12.28820573
1,1,-1,-1,-1,1,1,SqrtY1,3.31662479
1,1,-1,-1,-1,1,1,SqrtY2,3.872983346
1,1,-1,-1,-1,1,1,SqrtY3,3.31662479
1,1,-1,1,1,-1,-1,SqrtY1,4.123105626
1,1,-1,1,1,-1,-1,SqrtY2,1.414213562
1,1,-1,1,1,-1,-1,SqrtY3,4.123105626
1,1,1,-1,-1,-1,-1,SqrtY1,7.280109889
1,1,1,-1,-1,-1,-1,SqrtY2,8.366600265
1,1,1,-1,-1,-1,-1,SqrtY3,9.433981132
1,1,1,1,1,1,1,SqrtY1,4.795831523
1,1,1,1,1,1,1,SqrtY2,4.69041576
1,1,1,1,1,1,1,SqrtY3,2.645751311